attraction_id,attraction_name,locality_ar,region_ar,feature_id,feature_name,primary_category,folders,longitude,latitude,name_score,context_score,combined_score,feature_index
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","200","وادي البرك","الأودية ومصباتها","Untitled layer","21.426434","32.6425168","0.3333","0.2308","0.3128","199"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","275","وادي الغدير","الأودية ومصباتها","Untitled layer","16.8755073","26.8660542","0.3333","0.2143","0.3095","274"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","276","وادي الغدير","الأودية ومصباتها","Untitled layer","14.8340949","28.5125553","0.3333","0.2143","0.3095","275"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","349","وادي بلغدير","الأودية ومصباتها","Untitled layer","21.8517352","32.8176855","0.3333","0.2143","0.3095","348"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","165","وادي أراماس","الأودية ومصباتها","Untitled layer","11.7911988","24.9803601","0.3333","0.1667","0.3000","164"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","172","وادي أماسين","الأودية ومصباتها","Untitled layer","9.6449735","29.9858929","0.3333","0.1667","0.3000","171"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","173","وادي أمها","الأودية ومصباتها","Untitled layer","10.5557155","24.7680313","0.3333","0.1667","0.3000","172"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","174","وادي أنشال","الأودية ومصباتها","Untitled layer","10.5940819","24.9147745","0.3333","0.1667","0.3000","173"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","175","وادي أنشال","الأودية ومصباتها","Untitled layer","10.622381","24.7065892","0.3333","0.1667","0.3000","174"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","176","وادي أوال","الأودية ومصباتها","Untitled layer","10.8981149","29.5992123","0.3333","0.1667","0.3000","175"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","177","وادي أويس","الأودية ومصباتها","Untitled layer","10.5332279","25.336424","0.3333","0.1667","0.3000","176"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","178","وادي إزغيدة","الأودية ومصباتها","Untitled layer","14.2754751","31.9209385","0.3333","0.1667","0.3000","177"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","179","وادي ابهوها","الأودية ومصباتها","Untitled layer","11.5107046","25.3950196","0.3333","0.1667","0.3000","178"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","181","وادي اتينجستين","الأودية ومصباتها","Untitled layer","12.3271647","26.3531443","0.3333","0.1667","0.3000","180"
"LTA-FEAT-010","وادي موجهاج – أكاكوس","قيد التحقق التفصيلي","أكاكوس","183","وادي ادرنجلكو","الأودية ومصباتها","Untitled layer","10.33529","25.1226","0.3333","0.1667","0.3000","182"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","526","بحيرة","البحيرات الطبيعية والصحراوية","Untitled layer","13.3255708","27.4750061","0.5000","0.3750","0.4750","525"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","532","بحيرة احجارة","البحيرات الطبيعية والصحراوية","Untitled layer","14.4708333","27.0588889","0.3333","0.3333","0.3333","531"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","534","بحيرة البحير","البحيرات الطبيعية والصحراوية","Untitled layer","13.5862255","26.8513066","0.3333","0.3333","0.3333","533"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","535","بحيرة العامرة","البحيرات الطبيعية والصحراوية","Untitled layer","24.6929741","29.5871916","0.3333","0.3333","0.3333","534"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","536","بحيرة العرايشة","البحيرات الطبيعية والصحراوية","Untitled layer","24.8604444444445","29.6094166666667","0.3333","0.3333","0.3333","535"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","538","بحيرة العنبة","البحيرات الطبيعية والصحراوية","Untitled layer","12.9778147","26.944854","0.3333","0.3333","0.3333","537"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","539","بحيرة العيون","البحيرات الطبيعية والصحراوية","Untitled layer","14.0103736","27.4678864","0.3333","0.3333","0.3333","538"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","540","بحيرة العيون","البحيرات الطبيعية والصحراوية","Untitled layer","14.0103736","27.4678864","0.3333","0.3333","0.3333","539"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","541","بحيرة الفريدغة","البحيرات الطبيعية والصحراوية","Untitled layer","24.5068073","29.6125282","0.3333","0.3333","0.3333","540"
"LTA-FEAT-011","بحيرة الجغبوب","الجغبوب","الجغبوب","542","بحيرة الفريدغة","البحيرات الطبيعية والصحراوية","Untitled layer","13.3506739","26.9317886","0.3333","0.3333","0.3333","541"
